NEWID,INCLASS,FINCBTXM,iTotalExp,iFoodAtHome,iFoodAway,iHousing,otherHousing,iUtilites,iClothingAndBeauty,iTransportation,iHealthcare,iEntertainment,iMiscellaneous,iCharitableAndFamilyGiving,iInsurance,iEducation,iHousingPrinciple
2818165,3,20459.0,43026.79999999999,2991.999999999996,1812.0,20496.0,7892.000000000004,2180.0,0.0,2252.0,3658.7999999999997,1744.0,0.0,0.0,0.0,0.0,6176.0
2820575,5,46387.0,31340.000000000004,3120.0,624.0,7128.0,4784.000000000005,7564.0,0.0,4100.0,1312.0,1008.0,60.0,1640.0,0.0,0.0,4264.0
2821865,3,21106.0,38401.99999999999,3639.9999999999964,3699.9999999999964,11736.0,5514.0,1460.0,0.0,8488.0,2856.0,1008.0,0.0,0.0,0.0,0.0,4696.0
2824555,7,77545.0,46952.00000000003,3620.0000000000036,2600.000000000004,17340.0,6199.999999999995,5520.0,300.0,1952.0,9420.0,0.0,0.0,0.0,0.0,0.0,2240.0
2836405,2,10859.0,19735.999999999996,2592.0,1116.0,4356.0,2499.999999999996,3420.0,216.0,2060.0,1560.0,1196.0,0.0,720.0,0.0,0.0,1752.0
2837005,2,11615.0,22371.999999999996,1872.0,780.0,2568.0,908.0,1340.0,559.9999999999997,12568.0,0.0,1296.0,240.0,240.0,0.0,0.0,0.0
2838895,2,11052.0,4607.999999999996,2475.999999999996,260.0000000000004,392.0000000000004,0.0,376.0,384.0,300.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0
2844825,2,12309.2,13250.799999999996,2079.999999999996,2079.999999999996,2592.0,1200.0,912.0,300.0,1108.0,1258.8000000000002,0.0,879.9999999999998,840.0,0.0,0.0,0.0
2873215,3,24043.6,14802.800000000001,2600.000000000004,260.0000000000004,7200.0,0.0,1220.0,248.0000000000004,1308.0,1258.8000000000002,708.0,0.0,0.0,0.0,0.0,0.0
2876225,7,75000.0,21867.999999999993,1560.0,519.9999999999995,11220.0,411.99999999999994,2220.0,216.0000000000004,2792.0,1535.999999999996,1392.0,0.0,0.0,0.0,0.0,0.0
2904094,2,14858.4,18731.999999999956,312.0,363.9999999999996,15687.99999999996,28.0,1052.0,72.0,0.0,1200.0,16.0,0.0,0.0,0.0,0.0,0.0
